VideoID,Username,Comment,Timestamp,Date,Clean_Comment
_5AKKX1MYR8,@belski7454,ntaps 🙌🏼🥺,2025-05-16T20:07:09Z,2025-05-16T20:07:09Z,ntaps
_5AKKX1MYR8,@paperz6580,"Not gonna lie, versi paling gua suka ini. Enak bnget denger suara boril",2025-05-16T18:10:26Z,2025-05-16T18:10:26Z,not gonna lie versi paling gua suka ini enak bnget denger suara boril
_5AKKX1MYR8,@arinramadhantyalfaizah4914,Bagus bangett😍😍😍❤❤❤,2025-05-16T18:03:51Z,2025-05-16T18:03:51Z,bagus bangett
_5AKKX1MYR8,@BoyManopo,Lagu ini mengingatkan aku untuk lebih kuat pernah kena cobaan terus aku hadapi dan sekarang aku lebih kuat dan sadar keras dunia bahwa kita juga ga boleh sombong,2025-05-16T16:11:40Z,2025-05-16T16:11:40Z,lagu ini mengingatkan aku untuk lebih kuat pernah kena cobaan terus aku hadapi dan sekarang aku lebih kuat dan sadar keras dunia bahwa kita juga ga boleh sombong
_5AKKX1MYR8,@joviankedua-e3k,"Dear Visinema, ini coveran nggak mau dimasukin ke Spotify aja? (nangis besar)",2025-05-16T14:33:47Z,2025-05-16T14:33:47Z,dear visinema ini coveran nggak mau dimasukin ke spotify aja nangis besar
_5AKKX1MYR8,@kemekan4777,Aku ngulang2 pake youtube di kamar mandi 😂😊,2025-05-17T17:35:14Z,2025-05-17T17:35:14Z,aku ngulang2 pake youtube di kamar mandi
_5AKKX1MYR8,@sasha_kakaka,ihhhh semoga jumbo ada eps 2 nyaa aminn😃,2025-05-16T08:46:08Z,2025-05-16T08:46:08Z,ihhhh semoga jumbo ada eps 2 nyaa aminn
_5AKKX1MYR8,@sebuahsemangat,Entah dari mana air mata itu tiba-tiba datang,2025-05-16T08:12:18Z,2025-05-16T08:12:18Z,entah dari mana air mata itu tibatiba datang
_5AKKX1MYR8,@I_mplayrbx,Bcj,2025-05-16T06:16:45Z,2025-05-16T06:16:45Z,bcj
_5AKKX1MYR8,@risarismaya4097,🎪😁☀️♂️➡️↖️↕️↩️,2025-05-16T02:01:56Z,2025-05-16T02:01:56Z,
